cid,submittedVideoUrl,text,label,translated_text
7.424290433376945e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,sayangnya orang-orang terdekat yang justru membuat mental kita sakit dan lelah,0.0,unfortunately the closest people who actually make us mentally sick and tired
7.424296666063226e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"justru malah org trdekat yg menghancurkan mental ku, aku tdk prcya siapapun, caraku mengatasi ini semua dgn meditasi agar lbih tenang",1.0,"In fact, the closest one who destroyed my mentality, I did not feel anyone, the way I overcome this all with meditation so that it is more calm"
7.467563351029499e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,halo ka indah sundari,1.0,Hello Ka Indah Sundari
7.424315640155047e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,justru orang terdekat malah jadi penyebabnya,1.0,precisely the closest person is the cause
7.45555311479736e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,ka tolong aku,1.0,Ka help me
7.424138346903193e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"banyak yg pengen aku ceritain, tp g bisa, g tau kenapa g bisa keluar unek² ini",1.0,"I want to tell you a lot, but I can't, I don't know why I can't come out this"
7.424360532423378e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"tapi ya memang harus dekat dengan tuhan, banyak dzikir, tahajud, shalawat dan baca al-qur'an.. itu yg buat pikiran dan hati kita jernih sehingga kita bisa menemukan solusi untuk mengatasinya..",1.0,"But yes, it must be close to God, many dhikr, tahajud, prayers and read the Qur'an ... that's what makes our minds and hearts clear so that we can find solutions to overcome them .."
7.437371997983753e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,suka sedih dibilang masalah mental karna jauh dari tuhann,0.0,like sad to say mental problems because it is far from God
7.425095399956973e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"""akan ada masa dimana kamu tidak menemukan kebahagiaan, kecuali dengan mengasingkan diri dari keramaian"" bener kata sayyidina ali",1.0,"""There will be a time when you do not find happiness, except by alienating yourself from the crowd"" Really the word Sayyidina Ali"
7.425306061172983e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"aku seorang ibu rumah tangga, sudah lama sekali aku selalu berbicara sndrian ketika aku sndri, berbicara sprti sdg mengobrol pdhl aku sdg sndrian, sebelumnya aku merasa biasa",0.0,"I am a housewife, it's been a long time since I always spoke sndrian when I was, talking like I was talking to me, I was on, before I felt normal before"
7.425137520286402e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,lalu bagaimana kalok kita tdk punya orang terdekat?,1.0,Then how do we don't have the closest person?
7.460145591952999e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"aku akhir2 ini lgi ngerasa aneh sma diri sendiri ,aku ngelakuin hal yang gabaik yg ga biasanya aku lakuin knp ya",0.0,"I lately feel strange for myself, I do something that is not used to do not usually do why"
7.424192595117753e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,kalau misalkan seorang sikolog mengalami gangguan mental apakah dia juga datang ke sikolog lain juga,1.0,If for example a cycologist experiences a mental disorder whether he also comes to another cycologist too
7.42418965786226e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"mungkin kak, karna dia juga manusia biasa butuh orang lain",1.0,"maybe sis, because he is also an ordinary human need someone else"
7.46105189276097e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,gimana kalau orang terdekatpun gak ada yg peduli?,0.0,What if the closest person doesn't care?
