cid,submittedVideoUrl,text
7.424290433376945e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,sayangnya orang-orang terdekat yang justru membuat mental kita sakit dan lelah
7.424296666063226e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"justru malah org trdekat yg menghancurkan mental ku, aku tdk prcya siapapun, caraku mengatasi ini semua dgn meditasi agar lbih tenang"
7.467563351029499e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,halo ka indah sundari
7.424315640155047e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,justru orang terdekat malah jadi penyebabnya
7.45555311479736e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,ka tolong aku
7.424138346903193e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"banyak yg pengen aku ceritain, tp g bisa, g tau kenapa g bisa keluar unek² ini"
7.424360532423378e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"tapi ya memang harus dekat dengan tuhan, banyak dzikir, tahajud, shalawat dan baca al-qur'an.. itu yg buat pikiran dan hati kita jernih sehingga kita bisa menemukan solusi untuk mengatasinya.."
7.437371997983753e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,suka sedih dibilang masalah mental karna jauh dari tuhann
7.425095399956973e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"""akan ada masa dimana kamu tidak menemukan kebahagiaan, kecuali dengan mengasingkan diri dari keramaian"" bener kata sayyidina ali"
7.425306061172983e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"aku seorang ibu rumah tangga, sudah lama sekali aku selalu berbicara sndrian ketika aku sndri, berbicara sprti sdg mengobrol pdhl aku sdg sndrian, sebelumnya aku merasa biasa"
7.425137520286402e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,lalu bagaimana kalok kita tdk punya orang terdekat?
7.460145591952999e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"aku akhir2 ini lgi ngerasa aneh sma diri sendiri ,aku ngelakuin hal yang gabaik yg ga biasanya aku lakuin knp ya"
7.424192595117753e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,kalau misalkan seorang sikolog mengalami gangguan mental apakah dia juga datang ke sikolog lain juga
7.42418965786226e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"mungkin kak, karna dia juga manusia biasa butuh orang lain"
7.46105189276097e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,gimana kalau orang terdekatpun gak ada yg peduli?
7.457158999000974e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"kak disekitarku banyak orang tapi aku selalu ngerasa sendiri, orang lain bahkan kluarga mereka gak peduli"
7.439123401916466e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,gimana kalau org2 disekitar kita ld toxic semuanya..semakin merasa tertekan..
7.426346818269906e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,orng yg punya anxiety tu serba salah
7.457872518734038e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,sygnya gk punya org trdekat yg bisa di minta tolongin
7.424333186241381e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,sayang nya orang terdekat kita lah yang bikin kita setresss
7.424734290041308e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,untuk konsultasi brapa ya...?
7.424135906737587e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"kakk...pengen cerita tapi tidak tahu mau cerita sama siapa,, karna rasanya tidak ada tempat untuk berceritaa"
7.460821372853667e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,:sayangnya orang-orang terdekat yang justru membuat mental kita sakit dan lelah
7.440690955429643e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,sudah tidak punya org2 trdekat kak gmn
7.436723416102028e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,justru suamiku yg membuat aku gila kak
7.424763732884342e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,ke psikolog mahal gak sii
7.430069663675303e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"kak,anxiety disorder bisa sembuh gk? capek banget"
7.457329089923728e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,sayang nya ga ada orang yg bisa di ajak bantuin kita
7.467208689914529e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,betul 100%
7.42436027509208e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,aku anxiety disoder tp sama tetangga ku distigma gila krn berobat kpsikiater
7.424853396148143e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,sebenarnya apapun masalahnya hanya diri sendiri yg bisa menyembuhkan bukan orang lain dan bersyukur itu yg terpenting cobaan akan selalu datang mau kaya mau miskin sampai ajal
7.424358090252682e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,mental dan iman that is defferent
7.424480020074415e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,trueee
7.442871253864941e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,bener kk..and i need that
7.439940634435864e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,even my close one i cant trust to who i must reaching this
7.452943687908394e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,help me please .
7.436397190924813e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,thanks for knowledge pshycologic
7.433099778895382e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,we are just a humans !
7.424493329746707e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,penyebab masalah mental justru orang terdekat kita
7.427063315643237e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,aku kena luka batin .
7.424168443295335e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"ayo bersama ciptakan lingkungan yang aman, berempati, dan tidak judgemental. karena stigma ini masih banyak dari kalangan muda yang saat ini pdhl udah mulai aware sama mental health."
7.424835494787548e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,mslh anxiety hnya orang tertentu yg paham
7.424680544316687e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,iy tth cantik kita kudu byk berdoa dengan bismillahirrahmanirrahim minta kuat kepada allah swt tth sehat selalu bahagia selalu sukses selalu
7.424330522623673e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,justru orang terdekatlah yang membuat mental kita sakit?merasa tidak baik saja dg mentalku tapi bingung kemana harus kemana kita berobat’
7.424418000574432e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,jangan berharap kepada manusia berharap lah sama tuhan titik
7.424731777233896e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,sosial anxity
7.424337853298427e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,sy beberapa kmrn mengalami.. sampe skrng msih ga enak body trauma sskit hati... tiap prg ke mall takut keluar keringet gede2 tp kedinginan seolah sendirian dlm gua pdhl itu di mall.. kdang nangis ..
7.440526886763578e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,kalo mau ke psikolog tanpa pake bpjs itu harus minta surat rujukan dulu apa bisa langsung ke rumah sakit ya? kisaran biayanya brp ya kalo mandiri?
7.442562282636772e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,aku sampe ke hypnotherapy gara* ada hal yang buat aku selalu pengen nangis kalu inget
7.43829092424804e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"bulan depan mau ke psikolog ,aku butuh dokter"
7.42427732686273e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,kalau krumh skit misal mau kepsikiater itu gmn sih prosesnya
7.470057547204101e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,setuju mbak
7.429712248941905e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"gue capek dikasih masalah di segala arah, orangtua, rumah tangga sendiri, keluarga suami, ekonomi, pekerjaan. sedihh bgt tapi gue gabisa nangis kenapa ya"
7.448043282867373e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"wajar gk sih dok,,,dari kecil ortu aq dh cerai aq dn kedua adik lki2 ku tinggal ikut nenek,,stlh nenek mninggal kmi ikut bpak,,dn sekolah aku gk prnh didukung dn bpak kawin cerai,,,"
7.433601812228703e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"sll beristighfar,tarik nafas oanjang dan dalam buang dgn perlahan dan juga lepas yg kuat"
7.346206640758212e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,"who hurt you, bro?"
7.346191033390302e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,be forrealll
7.346903151070873e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,completely agree
7.350042083736339e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,speechless!
7.347179737875498e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,bang double cleanings bang
7.346635283942622e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,battery health bwangg
7.352428526908458e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,well said buddy
7.34757569689605e+18,https://www.tiktok.com/@khalidibrahimoriginal/video/7320948680704478470,based
